Cost cache matrix +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M33 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M30 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M32 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M23 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M33 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M30 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M32 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M23 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M33 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M00 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M10 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M20 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M30 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M01 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M11 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M21 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M31 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M02 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M12 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M22 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M32 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M03 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M13 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M23 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M33 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 = 5.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M10 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M20 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M30 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M11 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M21 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M31 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M12 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 = 0.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M13 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M23 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M33 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M30 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M32 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M23 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M33 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M30 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M01 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M11 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M21 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M31 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M02 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M12 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M22 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M32 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M23 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B11.M33 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M00 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M10 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M20 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M30 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M01 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M11 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M21 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M31 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M02 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M12 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M22 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M32 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M03 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M13 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M23 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B21.M33 = 24.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M10 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M10 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M20 = 5.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M30 = 6.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M01 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M11 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M21 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M31 = 5.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M02 = 1.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M12 = 2.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M22 = 3.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M32 = 4.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 = 0.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M03 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M13 = 1.000000
